text,label
"A change of control triggers mandatory repurchase at a 101% premium.",HIGH_RISK
"The arbitration award shall be final, binding, and non-appealable.",HIGH_RISK
"Willful misconduct or gross negligence voids all liability limitations herein.",HIGH_RISK
"Annual employee satisfaction surveys are used to improve workplace culture.",LOW_RISK
"The library contains over 500 reference books available to all staff.",LOW_RISK
"Team building activities are organized every quarter by HR.",LOW_RISK
"The company blog is updated weekly with industry news and insights.",LOW_RISK
"Remote work options are available for eligible positions after the probation period.",LOW_RISK
"The employee handbook outlines all company policies and procedures.",LOW_RISK
"Office supplies are ordered through the centralized procurement portal.",LOW_RISK
"New hires receive a welcome kit on their first day.",LOW_RISK
"The company sponsors local youth sports teams as part of its community initiative.",LOW_RISK
"Environmental sustainability goals are reviewed every six months.",LOW_RISK
"Withholding tax applies to royalty payments made to non-resident entities.",MEDIUM_RISK
"Cryptocurrency holdings must be disclosed in the company's financial statements.",MEDIUM_RISK
"The audit committee has oversight responsibility for financial reporting integrity.",MEDIUM_RISK
"Transfer pricing regulations must be adhered to for intercompany transactions.",MEDIUM_RISK
"The insurance policy covers errors and omissions up to $5 million per occurrence.",MEDIUM_RISK
"Escrow funds will be released upon successful completion of the post-merger audit.",MEDIUM_RISK
"The company must obtain board approval for acquisitions exceeding $10 million.",MEDIUM_RISK
"The credit facility includes a revolving line of credit with an annual reset.",MEDIUM_RISK
"Renegotiation of terms is permitted upon expiry of the initial 24-month lock-in.",MEDIUM_RISK
"Quarterly earnings reports are filed within 45 days of each quarter-end.",MEDIUM_RISK
"The court may award attorney's fees to the prevailing party in litigation.",HIGH_RISK
"The indemnity obligation includes third-party claims arising from product defects.",HIGH_RISK
"Interest penalties accrue daily on overdue tax obligations.",HIGH_RISK
"The non-disclosure agreement prohibits disclosure for an indefinite period.",HIGH_RISK
"Breach of the exclusivity agreement entitles the injured party to disgorgement.",HIGH_RISK
"The convertible note automatically converts at a 20% discount upon a qualifying event.",HIGH_RISK
"Employees terminated for cause shall forfeit all unvested equity compensation.",HIGH_RISK
"The SPAC merger requires approval from 80% of public shareholders.",HIGH_RISK
"Representations and warranties survive closing and are subject to indemnification.",HIGH_RISK
"The governing law clause designates English courts as having exclusive jurisdiction.",HIGH_RISK
"Community feedback sessions help shape the development roadmap.",LOW_RISK
"The product team regularly reviews user analytics to improve features.",LOW_RISK
"All communication should be directed to the designated project manager.",LOW_RISK
"The support portal provides 24/7 access to help articles and FAQs.",LOW_RISK
"Version history is maintained in the shared document repository.",LOW_RISK
"Onboarding checklists guide new employees through their first 90 days.",LOW_RISK
"The quarterly newsletter highlights company achievements and upcoming events.",LOW_RISK
"Expense reports must be submitted within 30 days of incurring the expense.",LOW_RISK
"The demo environment resets every weekend for testing purposes.",LOW_RISK
"Staff are encouraged to take at least 10 days of annual leave.",LOW_RISK
"The joint venture agreement defines profit-sharing ratios and governance structure.",MEDIUM_RISK
"Technology transfer agreements may require regulatory approval in certain jurisdictions.",MEDIUM_RISK
"The distribution agreement grants exclusive rights in specified territories for 5 years.",MEDIUM_RISK
"Performance bonds may be required for contracts exceeding a certain threshold.",MEDIUM_RISK
"Accounting standards require quarterly mark-to-market valuations of certain assets.",MEDIUM_RISK
"The software escrow agreement ensures access to source code in the event of vendor failure.",MEDIUM_RISK
"Invoices must reference the correct purchase order number to be processed.",MEDIUM_RISK
"The service contract includes a right to benchmark pricing against market rates.",MEDIUM_RISK
"All amendments must be in writing and signed by authorized representatives.",MEDIUM_RISK
"The agreement permits the licensee to grant sublicenses with prior written approval.",MEDIUM_RISK
"Rights to the underlying technology are retained by the original inventor.",HIGH_RISK
"Any attempt to challenge the validity of this patent is a breach of the settlement.",HIGH_RISK
"The earn-out provision links additional payments to post-closing revenue targets.",HIGH_RISK
"Breach of the standstill agreement subjects the party to immediate injunctive relief.",HIGH_RISK
"The non-solicitation clause prohibits hiring the other party's employees for 2 years.",HIGH_RISK
"Failure to achieve minimum purchase commitments allows the supplier to terminate.",HIGH_RISK
"The poison pill provision triggers upon any party acquiring more than 15% of shares.",HIGH_RISK
"The ratchet mechanism adjusts investor ownership based on future funding valuations.",HIGH_RISK
"The agreement includes a comprehensive IP assignment clause covering all inventions.",HIGH_RISK
"Indemnification caps are set at the total contract value paid in the preceding 12 months.",HIGH_RISK
"The company hosts an annual innovation hackathon open to all employees.",LOW_RISK
"Coffee and snacks are provided free of charge in the office kitchen.",LOW_RISK
"The IT help desk can be reached via email or phone for technical support.",LOW_RISK
"New software features undergo usability testing before public release.",LOW_RISK
"The team completed the diversity and inclusion training in March.",LOW_RISK
"Project milestones are tracked using a shared project management tool.",LOW_RISK
"The company participates in the local chamber of commerce events.",LOW_RISK
"Refer-a-friend bonus programs are available for all active employees.",LOW_RISK
"The quarterly goals are shared openly with the entire organization.",LOW_RISK
"The employee resource group meets monthly to share experiences and support.",LOW_RISK
